,Pipeline Patnership Idul Adha 1447 H,,,,,,,,,,,,,
,, ,,,,,,,,,,,,
No,Calon Mitra,Alamat,Kelurahan,Kecamatan,Type,PIC Contac,Pic Name,Status,Next Follow Up,Last Activity,Notes & History, Target, Realisasi,PJ Handling
1,SDN 07 Pondok Labu,"Jalan Ambalun No.1, RT 01/RW06",Pondok Labu,Cilandak ,Sekolah,0818-406-731,Wahyu Bunyamin,Contacted,Melakukan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina/Sumatera,"-Sudah melakukan kontak dan sedang mengatur jadwal pertemuan
-Pemberian ucapan Idul Fitri dan donasi ZIS Rp.19.820.000,-","-fix data Rp.18.820.000 
-Selalu minta kwitansi digital tiap transaksi (masih menunggu update 18.820/19.820)",,,Alfian
2,SDN Pitara 2,Jalan Pitara No.165,Pancoran Mas,Pancoran Mas,Sekolah,0813-1983-6879,Rachmawati Triana,Closed Lost,Melakukan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina/Sumatera,"- Melakukan kunjungan ke sekolah
- sudah melakukan kontak dan sedang mengatur jadwal pertemuan
- Pemberian ucapan Idul Fitri dan donasi Safari Dongeng Kemanusiaan Rp.1.500.000,-","Pihak sekolah tidak pernah melakukan pemotongan hewan Qurban, karena berada dikelas menengah kebawah. Saat kegiatan safari dongeng berikutnya mau dengan pendongeng yang berbeda dengan sebelumnya",,,Alfian
3,SDN Sukamaju Baru 1,Jalan Jatijajar 1,Jatijajar,Tapos,Sekolah,0813-1620-1995,Dewi,Contacted,"- follow up kembali kapan mau bertemu dengan pihak sekolah
- Melakukan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina/Sumatera","- sudah melakukan kontak dan sedang mengatur jadwal pertemuan
- Pemberian ucapan Idul Fitri dan donasi Safari Dongeng Kemanusiaan Rp.1.770.000,-",Selama komunikasi untuk kegiatan safari dongeng kemarin lancar dan baik respondnya,,,Alfian
4,SDN Beji 4,Jalan Pakis No.1,Beji,Beji,Sekolah,0857-7020-0342,Indah Nur,Proposal Sent,"- Kunjungan pada Rabu, 22 April 2026 jam 11
- Minggu depan follow up kembali terkait jadwal pertemuan 
-Melakukan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina/Sumatera","- sudah melakukan kontak dan sedang mengatur jadwal pertemuan 
-Pemberian ucapan Idul Fitri, beberapa donasi ZIS dan donasi Safari Dongeng Kemanusiaan Rp.2.155.000,-",Selama komunikasi untuk kegiatan safari dongeng kemarin lancar dan baik respondnya,,,Alfian
5,SDN Bojongsari 4,Jalan Pelita,Bojongsari Baru,Bojongsari,Sekolah,0857-1330-0739,Iftah Nurdiana,Leads,Melakukan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina/Sumatera,"Pemberian ucapan Idul Fitri dan donasi Safari Dongeng Kemanusiaan Rp.355.000,-",Komunikasi searah tidak ada timbal balik dan donasi yang bernilai kecil,,,Alfian
6,SDN Kebayoran Lama Selatan 19,Jalan Dharma Putra Raya 51,Kebayoran Lama Selatan,Kebayoran Lama,Sekolah,0877-8434-6119,Achmad Susmiyanto,Leads,Melakukan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina/Sumatera,"Pemberian ucapan Idul Fitri dan donasi Safari Dongeng Kemanusiaan Rp.1.000.000,-",Selama komunikasi untuk kegiatan safari dongeng kemarin lancar dan baik respondnya,,,Alfian
7,SDN Mekar Jaya 28,Jalan Kolintang Raya Blok B2,Mekar Jaya,Sukmajaya,Sekolah,0813-1062-1440,Yulianti,Proposal Sent,"- - follow up lebih lanjut terkait kerja sama yang akan dijalin
- Mengirimkan Proposal Penawaran
- Kunjungan pada Rabu, 22 April 2026, Ba'da Dzuhur
- Minggu depan follow up kembali terkait jadwa pertemuan 
- Melakukan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina/Sumatera-","- sudah melakukan kontak dan sedang mengatur jadwal pertemuan
- Pemberian ucapan Idul Fitri, beberapa donasi ZISWAF dan donasi Safari Dongeng Kemanusiaan Rp.2.635.000,-",Selama komunikasi untuk kegiatan safari dongeng kemarin lancar dan baik respondnya.,,,Alfian
