;Kalender Kegiatan Bulan April - Mei;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Hari;Senin;Selasa;Rabu;Kamis;Jumat;Sabtu ;Minggu;;;;;;;;;;;;;;;;;
;Kegiatan;;;1;2;3;4;5;;;;;;;;;;;;;;;;;
;Agenda Qurban 1447 H;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Kegiatan;6;7;8;9;10;11;12;;;;;;;;;;;;;;;;;
;Agenda Qurban 1447 H;;Rapat Persiapan Qurban Partnership - Rapat BPK & Managemet,  output sudah ada penentuan harga jual qurban;Proses persiapan pembuatan marketing KIT - Rapat Qurban BPK - Meetng Partnership x Marcom - Survey Vendor Depok ;Proses persiapan pembuatan marketing KIT - Survey Vendor Depok;Target selesai pembuatan marketing KIT - Survey Vendor Depok - Kunjungan ke SDIT Pondok Duta - Meeting dengan Vendor Pemotongan ;Capacity Building (pemberian reward relawan) - Promo Early Bird;Nonten Kandang Qurban | Promo Early Bird;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Kegiatan;13;14;15;16;17;18;19;;;;;;;;;;;;;;;;;
;Agenda Qurban 1447 H;Olah data target donatur partnership - Promo Early Bird;Olah data target donatur partnership- Fiksasi Harga Vendor hewan qurban Depok - Promo Early Bird;Kunjungan SDN Sukatanni 7 Jam 8 | SDIT Cipta Insani 10:30 | Pembuatan program syafari dongeng Qurban - Promo Early Bird;Pembuatan program syafari dongeng Qurban - Promo Early Bird;Launching program syafari dongeng Qurban & Program Jual Beli Hewan Qurban- Promo Early Bird;Promo Early Bird;Agenda Proposal Pelita | Promo Early Bird;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Kegiatan;20;21;22;23;24;25;26;;;;;;;;;;;;;;;;;
;Agenda Qurban 1447 H;Halbil Relawan x KZ l Canvasing Partnership ke Sekolah dan Masjid ;Canvasing Partnership ke Sekolah dan Masjid ;Kunjungan MIT Madani Cahaya Negeri 09:00 - Kunjungan SDN Beji 4 - Kunjungan SDN Mekarjaya 28 Ba'da Dzuhur -  Canvasing Partnership ke Sekolah dan Masjid ;Canvasing Partnership ke Sekolah dan Masjid ;Kunjungan SDIT Al-Qudwah 10:00 - Canvasing Partnership ke Sekolah dan Masjid ;Parenting SDIT Al Barkah -Event SDIT Al fajri ;Canvasing di CFD Depok - Harga Flash Sale;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Kegiatan;27;28;29;30;1;2;3;;;;;;;;;;;;;;;;;
;Agenda Qurban 1447 H;Canvasing Partnership ke Sekolah dan Masjid - Harga Flash Sale;Canvasing Partnership ke Sekolah dan Masjid;Canvasing Partnership ke Sekolah dan Masjid;Canvasing Partnership ke Sekolah dan Masjid;Canvasing Partnership ke Sekolah dan Masjid;Harga Flash Sale - Pelatihan Pemotongan Hewan Qurban ;Canvasing di CFD Depok - Harga Flash Sale;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
