Tanggal_Lengkap,Tanggal,Hari,Bulan,Agenda,Kategori,Ada_Kegiatan
2025-04-01,1,Rabu,April,,,Tidak
2025-04-02,2,Kamis,April,,,Tidak
2025-04-03,3,Jumat,April,,,Tidak
2025-04-04,4,Sabtu,April,,,Tidak
2025-04-05,5,Minggu,April,,,Tidak
2025-04-06,6,Senin,April,,,Tidak
2025-04-07,7,Selasa,April,"Rapat Persiapan Qurban Partnership - Rapat BPK & Managemet,  output sudah ada penentuan harga jual qurban",Rapat,Ya
2025-04-08,8,Rabu,April,Proses persiapan pembuatan marketing KIT - Rapat Qurban BPK - Meetng Partnership x Marcom - Survey Vendor Depok,Rapat | Survei Vendor,Ya
2025-04-09,9,Kamis,April,Proses persiapan pembuatan marketing KIT - Survey Vendor Depok,Survei Vendor,Ya
2025-04-10,10,Jumat,April,Target selesai pembuatan marketing KIT - Survey Vendor Depok - Kunjungan ke SDIT Pondok Duta - Meeting dengan Vendor Pemotongan,Kunjungan | Rapat | Survei Vendor,Ya
2025-04-11,11,Sabtu,April,Capacity Building (pemberian reward relawan) - Promo Early Bird,Promo | Capacity Building,Ya
2025-04-12,12,Minggu,April,Nonten Kandang Qurban | Promo Early Bird,Promo,Ya
2025-04-13,13,Senin,April,Olah data target donatur partnership - Promo Early Bird,Promo,Ya
2025-04-14,14,Selasa,April,Olah data target donatur partnership- Fiksasi Harga Vendor hewan qurban Depok - Promo Early Bird,Promo,Ya
2025-04-15,15,Rabu,April,Kunjungan SDN Sukatanni 7 Jam 8 | SDIT Cipta Insani 10:30 | Pembuatan program syafari dongeng Qurban - Promo Early Bird,Kunjungan | Promo,Ya
2025-04-16,16,Kamis,April,Pembuatan program syafari dongeng Qurban - Promo Early Bird,Promo,Ya
2025-04-17,17,Jumat,April,Launching program syafari dongeng Qurban & Program Jual Beli Hewan Qurban- Promo Early Bird,Promo,Ya
2025-04-18,18,Sabtu,April,Promo Early Bird,Promo,Ya
2025-04-19,19,Minggu,April,Agenda Proposal Pelita | Promo Early Bird,Promo,Ya
2025-04-20,20,Senin,April,Halbil Relawan x KZ l Canvasing Partnership ke Sekolah dan Masjid,Canvasing,Ya
2025-04-21,21,Selasa,April,Canvasing Partnership ke Sekolah dan Masjid,Canvasing,Ya
