Tanggal_Lengkap,Tgl,Hari,Bulan,Jam_Kegiatan,Kategori,Agenda,Tempat_Kegiatan,Petugas,Tujuan,Briefing,Hasil_Kerja,Status_Hasil
2025-04-06,6,Senin,April 2025,12:00 - 16:00,Kunjungan/Silaturahmi,Silaturahmi ,SDIT Al Barkah,Alfian & Idan,Follow up terkait siswa korban bencana Merawat mitra dan memberikan penawaran kerja sama Qurban dengan ZS,Fokus penawaran kerjasama dengan Zakat Sukses,"Menunggu data assestment sekolah terkait siswa yang terdampak, hadir di kegiatan parenting Pada 25 April 2025, diharapkan kehadiran di hari H Pemotongan ",Follow-up
2025-04-07,7,Selasa,April 2025,09:00 - 12:00,Rapat,Rapat strategi qurban panership,Ruang Podcast,All Team,Merencanakan strategi qurban 1447 H,"Fokus pembahasan Kalender Qurban, Harga Qurban dan menghasilkan strategi fundraising qurban untuk patnership",,Pending
2025-04-08,8,Rabu,April 2025,09:00 - 15:00,Rapat,Rapat qurban BPK & Sukses Filantropi,Ruang Meeting,Alfian,Merencanakan strategi qurban 1447 H & berkenalan dengan tim SF dan menentukan jadwal belajar,Strartegi qurban tim Patnership sudah di presentasikan,"Strategi qurban Patnership : https://canva.link/ax2ukta2f3775po
InsyaAllah siap pekan pertemuan dengan SF sepekan sekali hari Rabu/Kamis. Minta no Mba Ade",Positif
2025-04-09,9,Kamis,April 2025,10:00 - 16:00,Survei Vendor,Survei vendor Sapi Depok,RPH H Hendra,Alfian & Idan,"Mengecek harga, bobot dan ketersediaan sapi",Fokus penawaran kerjasama dengan Zakat Sukses,Insya Allah siap bekerja sama dengan Zakat Sukses dan bersedia jika di Branding Kandang ZS,Positif
2025-04-10,10,Jumat,April 2025,08:00 - 11:00,Kunjungan/Silaturahmi,Silaturahmi ,SIT Pondok Duta,Alfian & Idan,Merawat mitra dan memberikan penawaran kerja sama Qurban dengan ZS,Fokus penawaran kerjasama dengan Zakat Sukses,"Untuk hewan Qurban yayasan sudah bekerja sama dengan vendor lain, tinggal menunggu hasil kerja sama Safari Dongeng Qurban",Belum Sepakat
2025-04-13,13,Senin,April 2025,13:00 - 16: 00,Survei Vendor,Survei vendor domba Depok,Kandang Kambing Darussadah,Alfian & Idan,"Mengecek harga, bobot dan ketersediaan domba",Fokus penawaran kerjasama dengan Zakat Sukses,Insya Allah siap bekerja sama dengan Zakat Sukses dan bersedia jika di Branding Kandang ZS,Positif
2025-04-15,15,Rabu,April 2025,08:00 - 09:30,Kunjungan/Silaturahmi,Silaturahmi ,SDN Sukatani 7,Alfian & Idan,Merawat mitra dan memberikan penawaran kerja sama Qurban dengan ZS,Fokus penawaran kerjasama dengan Zakat Sukses,Untuk penawaran hewan Insya Allah akan beli melalui ZS dan kerja sama terkait safari dongeng tinggal menunggu pengiriman Flyer ke pihak sekolah,Follow-up
2025-04-15,15,Rabu,April 2025,10:30 - 12:30,Kunjungan/Silaturahmi,Silaturahmi ,SDIT Cipta Insani,Alfian & Idan,Merawat mitra dan memberikan penawaran kerja sama Qurban dengan ZS,Fokus penawaran kerjasama dengan Zakat Sukses,Insya Allah pihak sekolah bersedia bekerja sama terkait safari dongeng Qurban bersama ZS,Positif
2025-04-15,15,Rabu,April 2025,12:30 - 15:00,Survei Vendor,Survei vendor Sapi Depok,UD Rayyan, Alfian & Idan,"Mengecek harga, bobot dan ketersediaan sapi",Fokus penawaran kerjasama dengan Zakat Sukses,Insya Allah siap menyediakan sapi jenis bima kepada ZS,Positif
2025-04-16,16,Kamis,April 2025,09:00 - 10:00,Kunjungan/Silaturahmi,Silaturahmi ,SDN Pitara 2,Alfian & Idan,Merawat mitra dan memberikan penawaran kerja sama Qurban dengan ZS,Fokus penawaran kerjasama dengan Zakat Sukses,"Pihak sekolah tidak melakukan pemotongan hewan Qurban dan belum ada kerja sama lebih lanjut, kecuali di PHBI dongeng kemungkinan bisa hadir.",Belum Sepakat
2025-04-17,17,Jum'at,April 2025,10:00 - 11:00,Kunjungan/Silaturahmi,Silaturahmi ,SMPIT At Taufiq,Alfian & Idan,Merawat mitra dan memberikan penawaran kerja sama Qurban dengan ZS,Fokus penawaran kerjasama dengan Zakat Sukses,Insya Allah pihak sekolah bersedia bekerja sama terkait Qurban bersama ZS,Positif
2025-04-17,17,Jum'at,April 2025,13:30 - 15:00,Kunjungan/Silaturahmi,Silaturahmi ,TKIT & SDIT Insan Mandiri,Alfian & Idan,Merawat mitra dan memberikan penawaran kerja sama Qurban dengan ZS,Fokus penawaran kerjasama dengan Zakat Sukses,Insya Allah pihak sekolah bersedia bekerja sama terkait Qurban bersama ZS dan follow up terkait kencleng untuk siswa menabung Qurban,Positif
2025-04-22,22,Rabu,April 2025,09:00 - 10:00,Kunjungan/Silaturahmi,Silaturahmi ,MIT Madani Cahaya Negeri,Alfian & Idan,Merawat mitra dan memberikan penawaran kerja sama Qurban dengan ZS,Fokus penawaran kerjasama dengan Zakat Sukses,"Pihak sekolah tertarik untuk Qurban Palestina akan ada pembicaraan lebih lanjut, ketika penyaluran sekolah berharap terdapat logo sekolah ada. Sedangkan untuk masjid akan dikelola oleh warga sekitar ",Follow-up
2025-04-22,22,Rabu,April 2025,11:00 - 12:00,Kunjungan/Silaturahmi,Silaturahmi ,SDN Beji 4,Alfian & Idan,Merawat mitra dan memberikan penawaran kerja sama Qurban dengan ZS,Fokus penawaran kerjasama dengan Zakat Sukses,Pihak sekolah selain ramadhan untuk kegiatan PHBI bekerja sama dengan Baznas,Belum Sepakat
2025-04-22,22,Rabu,April 2025,13:00 - 14:00,Kunjungan/Silaturahmi,Silaturahmi ,SDN Mekarjaya 28,Idan,Merawat mitra dan memberikan penawaran kerja sama Qurban dengan ZS,Fokus penawaran kerjasama dengan Zakat Sukses,"Insya allah pihak sekolah bersedia bekerja sama terkait program Qurban. Namun, pihak sekolah bersedia menjadi sponsorship Program Parenting terkait Edukasi Seks untuk siswa kelas 5 & 6",Positif
2025-04-24,24,Jumat,April 2025,09:30 - 10:20,Kunjungan/Silaturahmi,Silaturahmi ,SDIT Al Qudwah,Idan,Merawat mitra dan memberikan penawaran kerja sama Qurban dengan ZS,Fokus penawaran kerjasama dengan Zakat Sukses,"Insya Allah pihak sekolah bersedia bekerja sama untuk program kebaikan lainnya, menunggu pihak ZS mengirimkan proposal penawaran kerja sama ",Follow-up
