Dimensi,Label,Jumlah
Status Kunjungan,Positif,8
Status Kunjungan,Follow-up,4
Status Kunjungan,Belum Sepakat,3
Status Kunjungan,Pending,1
Kategori Kegiatan,Kunjungan/Silaturahmi,11
Kategori Kegiatan,Survei Vendor,3
Kategori Kegiatan,Rapat,2
Petugas,Alfian & Idan,11
Petugas,Idan,2
Petugas,All Team,1
Petugas,Alfian,1
Petugas,Alfian & Idan,1
Kategori Agenda Kalender,Canvasing,14
Kategori Agenda Kalender,Promo,13
Kategori Agenda Kalender,|,11
Kategori Agenda Kalender,Safari,10
Kategori Agenda Kalender,Dongeng,10
Kategori Agenda Kalender,Kunjungan,4
Kategori Agenda Kalender,Rapat,3
Kategori Agenda Kalender,Survei,3
Kategori Agenda Kalender,Vendor,3
Kategori Agenda Kalender,Parenting,2
Kategori Agenda Kalender,Pelatihan,2
Kategori Agenda Kalender,Hari,2
Kategori Agenda Kalender,Tasyrik,2
Kategori Agenda Kalender,Capacity,1
Kategori Agenda Kalender,Building,1
Kategori Agenda Kalender,Idul,1
Kategori Agenda Kalender,Adha,1
